# CellID	Layer	Boundary	Stem	Area	Perimeter	CenterX	CenterY	WUS	CK	Neighbors	IsDividing	Volume	Circularity	WallNodeCount	CytNodeCount	CenterDist	CenterAngle	IsLP	ThetaLocal
0	1	1	0	77.9614	31.8052	3.68039	2.42596	58.9062	0	0	0	77.9614	0.968487	137	22	23.9808	1.40495	0	0.988027
1	1	1	0	101.907	36.865	-6.70294	0.622744	60.4961	0	0	0	101.907	0.942294	155	30	22.7734	1.85678	0	1.47817
2	1	1	0	103.579	37.2285	14.2708	3.42167	54.4248	0	0	0	103.579	0.939138	130	30	28.6214	1.03754	0	1.33548
3	1	1	0	98.9743	36.0762	-17.7237	-0.664909	56.7478	0	0	0	98.9743	0.955633	153	30	26.9645	2.2744	0	1.6083
4	1	1	0	102.199	36.8792	26.0632	2.08196	48.8228	0	0	0	102.199	0.944267	131	30	35.173	0.724364	0	1.49109
5	1	1	0	96.5399	35.7002	-28.5474	-2.08422	50.6364	0	0	0	96.5399	0.951866	130	30	34.1398	2.54638	0	1.64368
6	1	1	0	103.308	37.9309	36.7985	-0.951671	43.4619	0	0	0	103.308	0.902312	137	30	42.2581	0.50039	0	1.59665
7	1	1	0	96.5709	36.1779	-38.0878	-6.53312	45.6517	0	0	0	96.5709	0.927189	135	30	40.5637	2.77095	0	1.74067
8	1	1	0	58.698	27.5561	45.267	-5.13706	39.3835	0	0	0	58.698	0.971401	129	22	48.3037	0.339562	0	1.6838
9	1	1	0	81.0361	32.4021	-46.8409	-11.3883	40.7559	0	0	0	81.0361	0.969934	139	30	47.5901	2.93338	0	1.8093
10	2	0	0	64.4061	28.7688	-0.267142	-6.82002	68.705	0	0	0	64.4061	0.9779	132	22	14.4057	1.57	0	0
11	2	0	0	78.5296	32.0315	9.21416	-5.571	63.9239	0	0	0	78.5296	0.961807	142	30	18.308	1.0257	0	0
12	2	0	0	76.8418	32.5564	-10.8823	-8.1212	66.6894	0	0	0	76.8418	0.911032	139	30	16.8573	2.2511	0	0
13	2	0	0	79.001	32.2362	19.9239	-5.56402	56.7069	0	0	0	79.001	0.955333	141	30	25.5623	0.659458	0	0
14	2	0	0	59.6835	27.8321	-21.7037	-9.29624	58.7979	0	0	0	59.6835	0.968214	110	22	24.5224	2.63354	0	0
15	2	0	0	78.7566	32.5906	31.009	-8.15589	49.4283	0	0	0	78.7566	0.931775	144	30	33.9077	0.3957	0	0
16	2	0	0	61.6953	28.4191	-31.224	-12.1524	51.8082	0	0	0	61.6953	0.959936	101	22	32.2482	2.85638	0	0
17	2	1	0	58.9776	27.8895	40.9494	-11.1821	43.08	0	0	0	58.9776	0.952831	137	22	42.4337	0.238959	0	0
18	2	1	0	77.3764	32.0866	-40.6852	-17.0822	45.282	0	0	0	77.3764	0.944434	142	30	40.6185	3.0394	0	0
19	3	0	0	65.7099	28.9972	5.5773	-14.7529	74.0707	82.8181	0	0	65.7099	0.98204	110	22	8.72862	0.835397	0	0
20	3	0	0	64.3222	28.9397	-3.16661	-15.2508	78.3581	85.4373	0	0	64.3222	0.96512	107	22	6.6363	2.02104	0	0
21	3	0	0	67.689	29.5031	15.1145	-13.9585	64.6363	75.2745	0	0	67.689	0.97722	135	22	17.0223	0.44109	0	0
22	3	0	0	79.4516	32.4194	-14.3443	-16.0735	68.2338	79.7607	0	0	79.4516	0.949957	138	30	14.9797	2.79047	0	0
23	3	0	0	81.1556	32.9733	24.8409	-15.1419	55.9309	67.1298	0	0	81.1556	0.938001	132	30	25.8457	0.237621	0	0
24	3	0	0	75.6728	31.4912	-24.8354	-18.2941	57.913	70.5636	0	0	75.6728	0.958895	141	30	24.7312	3.02277	0	0
25	3	1	0	78.8904	31.9577	34.946	-17.6155	47.9371	58.7311	0	0	78.8904	0.970695	148	30	35.4091	0.102135	0	0
26	3	1	0	57.2554	27.4424	-33.7343	-21.3068	50.4026	62.8186	0	0	57.2554	0.955395	140	22	33.4558	-3.13917	0	0
27	4	0	0	75.5576	31.2478	1.40987	-23.4902	78.865	97.3931	0	0	75.5576	0.97241	103	30	2.8246	-0.930083	0	0
28	4	0	0	80.2113	33.0847	10.8396	-23.3581	69.872	88.0096	0	0	80.2113	0.920854	160	30	11.3208	-0.189485	0	0
29	4	0	0	74.729	31.3963	-8.85342	-23.514	73.9847	92.8789	0	0	74.729	0.952668	120	30	8.8749	-2.88082	0	0
30	4	0	0	82.9638	33.412	19.7755	-23.8323	60.6227	76.9426	0	0	82.9638	0.933885	161	30	20.2227	-0.129251	0	0
31	4	0	0	62.9839	28.6084	-18.9765	-25.0107	63.0104	80.605	0	0	62.9839	0.967058	137	22	19.0771	-2.94186	0	0
32	4	1	0	84.4418	33.0585	29.3797	-25.3869	51.8886	66.2058	0	0	84.4418	0.970962	150	30	29.9487	-0.139393	0	0
33	4	1	0	54.9606	26.843	-28.3973	-27.0413	54.0739	69.7268	0	0	54.9606	0.958513	138	22	28.7138	-2.93765	0	0
34	5	0	0	66.2548	29.2619	4.84705	-32.1322	68.2656	99.8673	0	0	66.2548	0.97235	121	22	12.0508	-1.13146	0	0
35	5	0	0	67.1284	29.348	-4.76391	-31.6862	69.55	103.366	0	0	67.1284	0.979402	134	22	11.3815	-1.97587	0	0
36	5	0	0	60.1402	27.8838	14.081	-33.0802	61.6752	85.7259	0	0	60.1402	0.972014	101	22	18.6206	-0.690124	0	0
37	5	0	0	76.4744	32.128	-14.3991	-32.5821	63.2252	87.87	0	0	76.4744	0.931017	142	30	18.1206	-2.46427	0	0
38	5	1	0	77.2234	31.5656	23.3939	-33.5824	54.3331	73.4045	0	0	77.2234	0.973936	143	30	26.7034	-0.481077	0	0
39	5	1	0	81.0503	32.4991	-23.8401	-34.1143	55.2604	74.9549	0	0	81.0503	0.964322	159	30	26.8562	-2.64104	0	0
40	6	0	0	75.2701	31.8979	-1.92675	-40.7177	60.9542	93.294	0	0	75.2701	0.929627	119	30	19.5615	-1.65515	0	0
41	6	0	0	78.9561	32.4548	7.6709	-41.0138	59.1554	88.3822	0	0	78.9561	0.941972	114	30	21.3251	-1.1888	0	0
42	6	0	0	74.1007	31.7426	-10.8027	-41.3195	58.5865	86.9965	0	0	74.1007	0.924159	126	30	22.6829	-2.05326	0	0
43	6	1	0	83.7646	33.0583	17.8915	-41.6965	53.7929	77.0054	0	0	83.7646	0.963183	159	30	27.3716	-0.844868	0	0
44	6	1	0	53.7659	26.4875	-19.6529	-41.5067	54.1557	77.3529	0	0	53.7659	0.963023	132	22	28.0478	-2.33334	0	0
45	7	0	1	101.988	37.7365	-0.368059	-50.9173	51.958	79.034	0	0	101.988	0.899988	154	30	29.6916	-1.57381	0	0
46	7	0	1	95.6253	36.5778	9.25596	-50.5169	50.912	76.3332	0	0	95.6253	0.898145	141	30	30.8039	-1.2561	0	0
47	7	0	1	72.8268	32.1924	-9.28589	-50.6001	51.3365	77.3603	0	0	72.8268	0.883067	140	22	30.7243	-1.86833	0	0
48	7	1	1	58.0357	28.3326	17.8237	-50.0306	48.3847	70.7218	0	0	58.0357	0.908515	141	22	34.0208	-1.00972	0	0
49	7	1	1	78.8593	32.3935	-17.9407	-49.612	49.511	72.7716	0	0	78.8593	0.94438	143	30	33.4325	-2.12738	0	0
